feature	pkg	where	repo	version	votes	depends_n	installed_bytes	desc
portals	xdg-desktop-portal-wlr	official	extra	0.8.4-1		12	129223	xdg-desktop-portal backend for wlroots
portals	xdg-desktop-portal-gnome	official	extra	50.0-1		16	958225	Backend implementation for xdg-desktop-portal for the GNOME 
portals	xdg-desktop-portal-kde	official	extra	6.7.5-1		27	2825210	A backend implementation for xdg-desktop-portal using Qt/KF5
brightness	brightnessctl	official	extra	0.5.1-3		1	29066	Lightweight brightness control tool
brightness	ddcutil	official	extra	3.0.1-1		12	2775953	Query and change Linux monitor settings using DDC/CI and USB
brightness	light	AUR	-	1.2.2-5	18	0	0	A program to control backlights (and other hardware lights)
brightness	brillo	AUR	-	1.4.13-1	22	1	0	Control the brightness of backlight and keyboard LED devices
audio	pipewire	official	extra	1.6.9-1		10	1360998	Low-latency audio/video router and processor
audio	wireplumber	official	extra	0.5.17-2		12	1323655	Session / policy manager implementation for PipeWire
audio	pamixer	official	extra	1.6-4		3	278396	Pulseaudio command-line mixer like amixer
audio	pavucontrol	official	extra	6.2-1		10	1091272	PulseAudio Volume Control
audio	playerctl	official	extra	2.4.1-5		2	456515	mpris media player controller and lib for spotify, vlc, auda
power menu	hyprshutdown	official	extra	0.1.1-7		11	360183	A graceful shutdown utility for Hyprland
power menu	wlogout	AUR	-	1.2.2-0	77	3	0	Logout menu for wayland
night light	hyprsunset	official	extra	0.4.0-3		9	267398	An application to enable a blue-light filter on Hyprland
night light	gammastep	official	extra	2.0.11-2		11	812937	Adjust the color temperature of your screen according to you
night light	wlsunset	official	extra	0.4.0-1		1	32859	Day/night gamma adjustments for Wayland compositors
on-screen display	swayosd	official	extra	0.3.2-1		13	8740507	A GTK based on screen display for keyboard shortcuts like ca
on-screen display	wob	official	extra	0.16-2		4	50970	A lightweight overlay volume/backlight/progress/anything bar
system monitor	btop	official	extra	1.4.7-1		4	1778964	A monitor of system resources, bpytop ported to C++
system monitor	htop	official	extra	3.5.3-1		5	431271	Interactive process viewer
system monitor	fastfetch	official	extra	2.68.1-1		2	2105731	A feature-rich and performance oriented neofetch like system
visualiser	cava	official	extra	1.0.0-1		12	233996	Console-based Audio Visualizer with support for multiple bac
search tools	ripgrep	official	extra	15.2.0-1		3	4494285	A search tool that combines the usability of ag with the raw
search tools	fd	official	extra	10.5.0-3		3	3590184	Simple, fast and user-friendly alternative to find
search tools	fzf	official	extra	0.74.4-1		2	5742039	Command-line fuzzy finder
emoji picker	rofimoji-git	AUR	-	6.7.0.r6.g28bfdf9-1	2	1	0	Emoji, unicode and general character picker for rofi and rof
emoji picker	bemoji	AUR	-	0.4.0-1	12	1	0	Emoji picker that remembers your favorites
colour picker	hyprpicker	official	extra	0.4.7-4		7	236439	A wlroots-compatible Wayland color picker that does not suck
OCR	tesseract	official	extra	5.5.3-1		8	4889669	An OCR program
OCR	tesseract-data-eng	official	extra	4.1.0-5		1	23466654	Tesseract OCR data (eng)
update check	pacman-contrib	official	extra	1.13.1-1		1	132417	Contributed scripts and tools for pacman systems
update check	topgrade	AUR	-	17.12.1-1	73	1	0	Upgrade all the things
fonts	inter-font	official	extra	4.1-1		0	14967288	A typeface specially designed for user interfaces
fonts	ttf-jetbrains-mono-nerd	official	extra	3.5.1-2		0	243181403	Patched font JetBrains Mono from nerd fonts library
fonts	noto-fonts	official	extra	2026.09.01-1		0	111996917	Google Noto TTF fonts
fonts	noto-fonts-emoji	official	extra	2.051-1		0	10677810	Google Noto Color Emoji font
fonts	noto-fonts-cjk	official	extra	20240730-1		0	313299069	Google Noto CJK fonts
fonts	adwaita-fonts	official	extra	51.0-2		0	7627210	The typefaces for GNOME
icons	papirus-icon-theme	official	extra	20260801-1		1	116933252	Papirus icon theme
cursor	hyprcursor	official	extra	0.1.13-7		12	748221	The hyprland cursor format, library and utilities
GTK theme	adw-gtk3	NONE	-	-		0	0	
Qt theme	qt6ct	official	extra	0.11-8		5	706793	Qt 6 Configuration Utility
Qt theme	kvantum	official	extra	1.1.8-1		7	8809753	SVG-based theme engine for Qt6 (including config tool and ex
X11 apps	xorg-xwayland	official	extra	24.1.13-1		16	2459481	run X clients under wayland
secrets	gnome-keyring	official	extra	50.0-1		10	3368179	Stores passwords and encryption keys
bluetooth	bluez	official	extra	5.87-2		5	1812713	Daemons for the bluetooth protocol stack
bluetooth	bluez-utils	official	extra	5.87-2		5	3865141	Development and debugging utilities for the bluetooth protoc
bluetooth	blueman	official	extra	2.4.6-2		6	7176466	GTK+ Bluetooth Manager
network	networkmanager	official	extra	1.58.1-1		22	18977665	Network connection manager and user applications
network	nm-connection-editor	official	extra	1.36.0-2		2	4672565	NetworkManager GUI connection editor and widgets
power profiles	power-profiles-daemon	official	extra	0.30-1		6	145354	Makes power profiles handling available over D-Bus
power profiles	tlp	official	extra	1.10.2-1		7	747746	Linux Advanced Power Management
battery	upower	official	extra	1.91.4-1		10	891922	Abstraction for enumerating power devices, listening to devi
editor	neovim	official	extra	0.12.5-1		19	32009936	Fork of Vim aiming to improve user experience, plugins, and 
editor	helix	official	extra	25.07.1-2		4	216641483	A post-modern modal text editor
