stack	pkgs	installed_MB	marginal_pkgs	marginal_MB	aur_roots	aur_unresolved
wallpaper :: mpvpaper	259	1040.5	259	1040.5	mpvpaper	
hyprland+noctalia+matugen	234	1053.6	234	1053.6		
bar / shell :: hyprpanel	255	1085.1	255	1085.1	hyprpanel	
audio :: pavucontrol	236	1094.3	236	1094.3		
screenshot :: satty	234	1099.0	234	1099.0		
notifications :: swaync	249	1111.2	249	1111.2		
bar / shell :: waybar	264	1115.2	264	1115.2		
labwc+waybar+wallust	275	1120.1	275	1120.1	wallust	
terminal :: ghostty	238	1124.1	238	1124.1		
sway+waybar+wallust	274	1124.9	274	1124.9	wallust	
niri+noctalia+matugen	240	1131.6	240	1131.6		
bar / shell :: dms-shell	232	1156.8	232	1156.8		
screen record :: obs-studio	291	1157.4	291	1157.4		
hyprland+dms+matugen	233	1168.2	233	1168.2		
screen record :: kooha	297	1182.1	297	1182.1		
niri+dms+matugen	238	1242.2	238	1242.2		
bar / shell :: aylurs-gtk-shell	242	1242.7	242	1242.7	aylurs-gtk-shell	libastal;libastal-4
file manager GUI :: nautilus	397	1533.8	397	1533.8		
portals :: xdg-desktop-portal-gnome	398	1534.7	398	1534.7		
file manager GUI :: dolphin	405	1695.8	405	1695.8		
bar / shell :: caelestia-shell	362	1749.3	362	1749.3	caelestia-shell	caelestia-cli;libcava;qt6-m3shapes-git;quickshell-git;ttf-rubik-vf
hyprland+caelestia+matugen	393	1839.5	393	1839.5	caelestia-shell	caelestia-cli;libcava;qt6-m3shapes-git;quickshell-git;ttf-rubik-vf
portals :: xdg-desktop-portal-kde	518	2245.5	518	2245.5		
