stack	pkgs	installed_MB	marginal_pkgs	marginal_MB	aur_roots	aur_unresolved
river+yambar+wallust	172	622.4	38	25.3	yambar;wallust	
mangowm+quickshell+matugen	203	948.6	69	351.6	mangowm-git	scenefx0.5
hyprland+noctalia+matugen	234	1053.6	100	456.5		
labwc+waybar+wallust	275	1120.1	141	523.0	wallust	
sway+waybar+wallust	274	1124.9	140	527.9	wallust	
niri+noctalia+matugen	240	1131.6	106	534.5		
hyprland+dms+matugen	233	1168.2	99	571.1		
niri+dms+matugen	238	1242.2	104	645.1		
hyprland+caelestia+matugen	393	1839.5	259	1242.5	caelestia-shell	caelestia-cli;libcava;qt6-m3shapes-git;quickshell-git;ttf-rubik-vf
